text,label
Emi ni orúkọ ìran Fúlàní tó kọ́kọ́ jẹ ọba nílùú Ìlọrin? #ibeere #Yoruba,neutral
"Ẹsẹ àti àwọn ọmọba mélòó kan ní Ifẹ̀ kúrò láti lọ tẹ̀dó sí àwọn ìlú ní ibi tí wọ́n ti ma lè ní àṣẹ tí kò lópin Ẹsẹ àti àwọn ọmọ lẹ́hìn rẹ̀ tẹ̀dó sí ibi tí wọ́n ń pè ní Igbọ́n. Orúkọ oyè ọba tí wọ́n fun ni OLÚ-IGBỌ́N, èyí tí wọ́n padà wá yí sí OLÚGBỌ́N",neutral
@DeleMomodu @0gidigbo Yorùbá dùn lédè o :),positive
"RT @romeoakins: Bee ti a ba si ni ka pinya,awon ni o maa soro fun ju lati gbo bukata awon eniyan won nipase ohun alumoni.",negative
RT @ojogbon_akanbi: @yobamoodua Baara Agboniregun ati Akere finu se ogbon,positive
"Ènìyàn àtàtà tó sa ipáa rẹ̀ nítorí àwọn ẹmẹ̀yàa rẹ̀ fún ìgbé ayé tó tọ́. Ìrìn òmìnira náà pẹ́, àmọ́ #Mandela kò y'ọ́kan padà.",positive
"""Agbé, yara gbe ire temi wa bá mi. Loni, gbé ire wọle gbogbo wa."" #tweetYoruba #Africa @twitter @translator",positive
Ẹ kú ọdún titun oooo!!,positive
"Gbogbo àwọn ọmọdébìnrin píníṣín ìsẹ̀yín ni ìka kan ò wọ̀ nídìí mọ́. Olóṣò ni kálukúu wọn yàn láàyò, wọn kò lépo lójú mọ́. #OjoOmobirin",negative
"Ẹwá o. Ṣé Ọ̀kín l'ọba ẹiyẹ ni àbí Ògòngò? Kìnìún nkọ́, òun l'ọba ẹranko ni àbí Àjànàkú?",neutral
"Orí, wò ibi rere gbé mi dé, ẹsẹ̀ wo ibi ire sìn mí yà. Nítorí orí ni ẹjá fi ń la ibú jà, nítorí orí ni àkèré fi ń wẹ̀ ni odò. Oríì mi, àpésìn!",positive
"@_TLNetwork Hahahahaha.Ọ̀rọ̀ ẹyọ'kan ṣoṣo tàbí méjì péré ni mo nfẹ́ o :) Ṣé ẹ ríi pé ó sòro díẹ̀, nítorí àṣà wa ò báramu rẹ́gí-rẹ́gi.",negative
"RT @dolapodabiri: @alakoweyoruba E ku ojumo. Ki Oluwa so awa ti awa ni irin ajo, ka bale layo.",positive
RT @biolamayor: @alakoweyoruba ope ni fun Oba awon oba.,positive
"RT @sigaboj: Egun atiro wole, eyan atiro boode, tani o mo pe eyan atiro leegun atiro towole #TweetInYoruba",negative
"Ọ̀pẹ ọba igi {palm tree, king of trees} #yoruba #palmtree #InYoruba",neutral
"Ìwọ ikú òpònú abaradúdú wọ, o ò ṣe é 're o. O d'óró, o ṣ'èkà, o m'ẹ́ni rere lọ. @KunleOlaifa ṣe bẹ́ẹ̀ ó lọ.",negative
"""Ìlú Ẹ̀rìn tí a nsọ nípa rẹ̀ yìí jẹ́ ìlú pàtàkì kan n'ílẹ̀ Yorùbá. Ìlú yìí wà l'ágbègbè Ọ̀fà. Ní ọjọ́ kan báyìí ni ìṣẹ̀lẹ̀ kan ṣẹ ní ìlú Ẹ̀rìn yìí. Kini ìṣẹ̀lẹ̀ náà?"" 🔰 Ẹ kàn sí wa láti ra ìwé náà... #OjuOsupa #Atelewo #Yoruba #YorubaBooks https://t.co/O8C7S8HD4k",neutral
