call over server,Call the waiter,taste the food,call waiter,find something wrong with it,decide to say anything or not,notify wait staff of problem,Get server's attention,taste food,flag down waiter,Get server's attention,Flag down the waiter,Notify the waiter or waitress,don't like the food,call waiter,Find why we are sending back.,call server to table,first i select a wanted food,be polite,eat the food,I MEET MY OLD FRIENDS,waiter asks me why?,find defect in the food
explain whats wrong,Explain problem,decide to complain,explain problem,ask a server to examine it,call for waiter,food will be returned to chef,Describe problem,dislike food,tell him what's wrong,Tell what is wrong with food,Explain why the food sucks,Explain the issue,call waiter,tell waiter what's wrong,Either not a good Quality.,comment about food,then take a paper,explain to the waitress,if not good  return it,WE ARE EATING CHAPPATHI,I state the reason,call the bearer
hand dish back to server,The waiter apologizes,get waitress attention,waiter takes food back,wait for a new dish,tell waiter problem with food,chef will correct issue,Server takes food back,attract attention of server,order something else,Ask for a new plate of food,Ask him to have another made,Order something else or,complain about food,order new dish,maybe misplace the order.,server returns food to kitchen,put a plastic sheet on paper,request a replacement meal,place a new order,THIS RESTURENT WAS LUXARY TYPE,waiter apologises,complaints
wait for new dish,Your food is taken back,explain the problem,you wait,enjoy,apologize for complaining,waitstaff will bring food back,Problem is corrected,complain to server,waiter takes dish away,Wait for your new plate,Inspect the new plate,Get my original order again,annoying,wait for new dish,The Complaint will go to Chef,tell chef complaint of food,then i put a food,thank the waitress,now taste it as well,SPENT MONEY,waiter takes back the food,make another order
get refund,You get a new plate of food,show her the bad parts,cook prepairs new dish,leave a good tip,kindly request money back,thank waitstaff for correcting,food is returned,hand plate to server,continue eating other food,Server brings a new meal,Send back the old one,I try to be friendly,waiter changes food,eat up,And to the Manager.,chef prepares new food,first close a plastic sheet,thank the chef,specify the quality as comment,IN A RESTURENT I SPENT MONEY,i wait for the new order,delete money for that food
null,null,ask her to take back the food,new plate of food is brought,null,null,null,hopefully everyone is happy,wait for new food,new dish arrives,Eat meal,null,I give them my dish,brings new food,tip the waiter anyway,One of them Apologize.,food brought back to table,then closed a paper,leave a higher tip,null,RESTURENT BOY IS A GOOD MAN,waiter brings in the food,null
null,null,wait for replacement food,you take new plate,null,null,null,null,null,eat,null,null,I get my new dish,still the same,null,The Mistake they done.,null,i take a rubber band,null,null,null,null,null
null,null,try out the replacement food,thank waiter,null,null,null,null,null,null,null,null,null,speak to manager,null,They will replace the order.,null,construct the rubber band,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,complain to him or her,null,Compay will give Compensation.,null,Then i take a gravy container,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,order different dish,null,Take- very care about orders.,null,container in side put a gravy,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,or leave restaurant,null,Complaint will be on log book.,null,close the container,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Manager explain the Mistake.,null,take a carry cover,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Chef Explain his Mistake,null,Inside put a food and container,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Company advaice them badly.,null,In this back take it and go.,null,null,null,null,null
