id	score	v	d-obj	p	p-title
000001	0.0	put	card	merchant	credit card
000002	0.04405797255929765	put	card	cashier	credit card
000003	0.005263022835640573	put	card	process	credit card
000004	0.0	put	card	processing	credit card
000005	0.0	put	card	you	credit card
000006	0.0	put	card	amount	credit card
000007	0.0	put	card	total	credit card
000008	0.0	put	card	purchased goods	credit card
000009	0.0	put	card	receipt and goods	credit card
000010	0.03302706146692111	put	card	wallet	credit card
000011	0.009736940829683082	put	card	my wallet	credit card
000012	0.0	put	card	checkout	credit card
000013	0.0	put	card	merchant copy	credit card
000014	0.0	put	card	store copy	credit card
000015	0.008345963784664685	put	card	reader	credit card
000016	0.009736940829683082	put	card	cashier ring	credit card
000017	0.01774787545495155	put	card	charge slip	credit card
000018	0.00724779806119267	put	card	approval	credit card
000019	0.0	put	card	electric pad	credit card
000020	0.0	put	card	paper	credit card
000021	0.0	put	card	store copy of receipt	credit card
000022	0.0033109151229681767	put	card	store	credit card
000023	0.0	put	card	reciept	credit card
000024	0.0	put	card	clerk	credit card
000025	0.0	put	card	items	credit card
000026	0.00285513516730461	put	card	item	credit card
000027	0.004546934558381893	put	card	purchase	credit card
000028	0.0	put	card	purchases	credit card
000029	0.009736940829683082	put	card	my receipt	credit card
000030	0.03304347941947324	put	card	receipt	credit card
000031	0.0	get	credit card	merchant	credit card
000032	0.04405797255929765	get	credit card	cashier	credit card
000033	0.005263022835640573	get	credit card	process	credit card
000034	0.0	get	credit card	processing	credit card
000035	0.0	get	credit card	you	credit card
000036	0.0	get	credit card	amount	credit card
000037	0.0	get	credit card	total	credit card
000038	0.0	get	credit card	purchased goods	credit card
000039	0.0	get	credit card	receipt and goods	credit card
000040	0.03302706146692111	get	credit card	wallet	credit card
000041	0.009736940829683082	get	credit card	my wallet	credit card
000042	0.0	get	credit card	checkout	credit card
000043	0.0	get	credit card	merchant copy	credit card
000044	0.0	get	credit card	store copy	credit card
000045	0.008345963784664685	get	credit card	reader	credit card
000046	0.0636570838173465	get	credit card	card	credit card
000047	0.009736940829683082	get	credit card	cashier ring	credit card
000048	0.01774787545495155	get	credit card	charge slip	credit card
000049	0.00724779806119267	get	credit card	approval	credit card
000050	0.0	get	credit card	electric pad	credit card
000051	0.0	get	credit card	paper	credit card
000052	0.0	get	credit card	store copy of receipt	credit card
000053	0.0033109151229681767	get	credit card	store	credit card
000054	0.0	get	credit card	reciept	credit card
000055	0.0	get	credit card	clerk	credit card
000056	0.0	get	credit card	items	credit card
000057	0.00285513516730461	get	credit card	item	credit card
000058	0.004546934558381893	get	credit card	purchase	credit card
000059	0.0	get	credit card	purchases	credit card
000060	0.009736940829683082	get	credit card	my receipt	credit card
000061	0.03304347941947324	get	credit card	receipt	credit card
000062	0.0	hand	id	merchant	credit card
000063	0.04405797255929765	hand	id	cashier	credit card
000064	0.005263022835640573	hand	id	process	credit card
000065	0.0	hand	id	processing	credit card
000066	0.0	hand	id	you	credit card
000067	0.0	hand	id	amount	credit card
000068	0.0	hand	id	total	credit card
000069	0.0	hand	id	purchased goods	credit card
000070	0.0	hand	id	receipt and goods	credit card
000071	0.03302706146692111	hand	id	wallet	credit card
000072	0.009736940829683082	hand	id	my wallet	credit card
000073	0.0	hand	id	checkout	credit card
000074	0.0	hand	id	merchant copy	credit card
000075	0.0	hand	id	store copy	credit card
000076	0.008345963784664685	hand	id	reader	credit card
000077	0.0636570838173465	hand	id	card	credit card
000078	0.009736940829683082	hand	id	cashier ring	credit card
000079	0.01774787545495155	hand	id	charge slip	credit card
