id	score	v	d-obj	p	p-title
00001	0.011811618597549763	get	condiments	food	fast food restaurant
00002	0.0029342140717959373	get	condiments	my food	fast food restaurant
00003	0.0025412389728946953	get	condiments	napkins and condiments	fast food restaurant
00004	0.0029342140717959373	get	condiments	menu board	fast food restaurant
00005	0.0026514526472337504	get	condiments	cashier	fast food restaurant
00006	0.002548128845198586	get	condiments	my order	fast food restaurant
00007	0.017566329955107693	get	condiments	order	fast food restaurant
00008	0.0006628631618084376	get	condiments	receptacle	fast food restaurant
00009	0.0025771113454700597	get	condiments	tray	fast food restaurant
00010	0.0011281442669850638	get	condiments	number	fast food restaurant
00011	0.0014671070358979687	get	condiments	order number	fast food restaurant
00012	0.0014671070358979687	get	condiments	vacant table	fast food restaurant
00013	0.0028476537068412703	get	condiments	table	fast food restaurant
00014	0.002206861589145204	get	condiments	place to sit	fast food restaurant
00015	0.00048813412622554617	get	condiments	seat	fast food restaurant
00016	0.002385121724036475	get	condiments	restaurant	fast food restaurant
00017	0.002206861589145204	get	condiments	swipe credit card	fast food restaurant
00018	0.0019361982389593537	get	condiments	credit card	fast food restaurant
00019	0.0012160091578191294	get	condiments	car	fast food restaurant
00020	0.001274064422599293	get	condiments	my receipt	fast food restaurant
00021	0.0013257263236168752	get	condiments	receipt	fast food restaurant
00022	0.0014671070358979687	get	condiments	your cup	fast food restaurant
00023	0.0009285331079208284	get	condiments	cup	fast food restaurant
00024	0.0002341304312380484	get	condiments	you	fast food restaurant
00025	0.0025996532599600396	get	condiments	line	fast food restaurant
00026	0.0012453020498905353	get	condiments	trash	fast food restaurant
00027	0.0025412389728946953	get	condiments	trays and trash	fast food restaurant
00028	0.0036079558836580837	get	condiments	menu	fast food restaurant
00029	0.000740181991779952	get	condiments	bill	fast food restaurant
00030	0.003252992809681617	get	condiments	counter	fast food restaurant
00031	0.0014671070358979687	get	condiments	front counter	fast food restaurant
00032	0.003420705718634946	take	food	my food	fast food restaurant
00033	0.0029625754884606225	take	food	napkins and condiments	fast food restaurant
00034	0.003050988848641774	take	food	condiments	fast food restaurant
00035	0.003420705718634946	take	food	menu board	fast food restaurant
00036	0.0030910625507057504	take	food	cashier	fast food restaurant
00037	0.002970607699135748	take	food	my order	fast food restaurant
00038	0.02047882119796616	take	food	order	fast food restaurant
00039	0.0007727656376764376	take	food	receptacle	fast food restaurant
00040	0.003004395487617823	take	food	tray	fast food restaurant
00041	0.0013151901841841546	take	food	number	fast food restaurant
00042	0.001710352859317473	take	food	order number	fast food restaurant
00043	0.001710352859317473	take	food	vacant table	fast food restaurant
00044	0.00331979367603598	take	food	table	fast food restaurant
00045	0.0025727584537157816	take	food	place to sit	fast food restaurant
00046	0.0005690665902977523	take	food	seat	fast food restaurant
00047	0.002780574055409077	take	food	restaurant	fast food restaurant
00048	0.0025727584537157816	take	food	swipe credit card	fast food restaurant
00049	0.0022572192165806596	take	food	credit card	fast food restaurant
00050	0.0014176230425881635	take	food	car	fast food restaurant
00051	0.001485303849567874	take	food	my receipt	fast food restaurant
00052	0.0015455312753528752	take	food	receipt	fast food restaurant
00053	0.001710352859317473	take	food	your cup	fast food restaurant
00054	0.0010824835661232394	take	food	cup	fast food restaurant
00055	0.00027294917325246774	take	food	you	fast food restaurant
00056	0.003030674843492379	take	food	line	fast food restaurant
00057	0.0014517726857199216	take	food	trash	fast food restaurant
00058	0.0029625754884606225	take	food	trays and trash	fast food restaurant
00059	0.004206153682664952	take	food	menu	fast food restaurant
00060	0.0008629039020873365	take	food	bill	fast food restaurant
00061	0.0037923378575938278	take	food	counter	fast food restaurant
00062	0.001710352859317473	take	food	front counter	fast food restaurant
00063	0.011811618597549763	dispense	soda	food	fast food restaurant
00064	0.0029342140717959373	dispense	soda	my food	fast food restaurant
00065	0.0025412389728946953	dispense	soda	napkins and condiments	fast food restaurant
00066	0.0026170782139510185	dispense	soda	condiments	fast food restaurant
00067	0.0029342140717959373	dispense	soda	menu board	fast food restaurant
00068	0.0026514526472337504	dispense	soda	cashier	fast food restaurant
00069	0.002548128845198586	dispense	soda	my order	fast food restaurant
00070	0.017566329955107693	dispense	soda	order	fast food restaurant
00071	0.0006628631618084376	dispense	soda	receptacle	fast food restaurant
00072	0.0025771113454700597	dispense	soda	tray	fast food restaurant
00073	0.0011281442669850638	dispense	soda	number	fast food restaurant
00074	0.0014671070358979687	dispense	soda	order number	fast food restaurant
00075	0.0014671070358979687	dispense	soda	vacant table	fast food restaurant
00076	0.0028476537068412703	dispense	soda	table	fast food restaurant
00077	0.002206861589145204	dispense	soda	place to sit	fast food restaurant
00078	0.00048813412622554617	dispense	soda	seat	fast food restaurant
00079	0.002385121724036475	dispense	soda	restaurant	fast food restaurant
00080	0.002206861589145204	dispense	soda	swipe credit card	fast food restaurant
00081	0.0019361982389593537	dispense	soda	credit card	fast food restaurant
00082	0.0012160091578191294	dispense	soda	car	fast food restaurant
00083	0.001274064422599293	dispense	soda	my receipt	fast food restaurant
00084	0.0013257263236168752	dispense	soda	receipt	fast food restaurant
00085	0.0014671070358979687	dispense	soda	your cup	fast food restaurant
00086	0.0009285331079208284	dispense	soda	cup	fast food restaurant
00087	0.0002341304312380484	dispense	soda	you	fast food restaurant
00088	0.0025996532599600396	dispense	soda	line	fast food restaurant
00089	0.0012453020498905353	dispense	soda	trash	fast food restaurant
00090	0.0025412389728946953	dispense	soda	trays and trash	fast food restaurant
00091	0.0036079558836580837	dispense	soda	menu	fast food restaurant
00092	0.000740181991779952	dispense	soda	bill	fast food restaurant
00093	0.003252992809681617	dispense	soda	counter	fast food restaurant
00094	0.0014671070358979687	dispense	soda	front counter	fast food restaurant
00095	0.04724647439019905	place	order	food	fast food restaurant
00096	0.01173685628718375	place	order	my food	fast food restaurant
00097	0.010164955891578781	place	order	napkins and condiments	fast food restaurant
00098	0.010468312855804074	place	order	condiments	fast food restaurant
00099	0.01173685628718375	place	order	menu board	fast food restaurant
00100	0.010605810588935002	place	order	cashier	fast food restaurant
00101	0.010192515380794343	place	order	my order	fast food restaurant
00102	0.0026514526472337504	place	order	receptacle	fast food restaurant
00103	0.010308445381880239	place	order	tray	fast food restaurant
00104	0.004512577067940255	place	order	number	fast food restaurant
00105	0.005868428143591875	place	order	order number	fast food restaurant
00106	0.005868428143591875	place	order	vacant table	fast food restaurant
00107	0.011390614827365081	place	order	table	fast food restaurant
00108	0.008827446356580816	place	order	place to sit	fast food restaurant
00109	0.0019525365049021847	place	order	seat	fast food restaurant
00110	0.0095404868961459	place	order	restaurant	fast food restaurant
00111	0.008827446356580816	place	order	swipe credit card	fast food restaurant
00112	0.007744792955837415	place	order	credit card	fast food restaurant
00113	0.004864036631276518	place	order	car	fast food restaurant
00114	0.005096257690397172	place	order	my receipt	fast food restaurant
00115	0.005302905294467501	place	order	receipt	fast food restaurant
00116	0.005868428143591875	place	order	your cup	fast food restaurant
00117	0.0037141324316833134	place	order	cup	fast food restaurant
00118	0.0009365217249521936	place	order	you	fast food restaurant
00119	0.010398613039840158	place	order	line	fast food restaurant
00120	0.004981208199562141	place	order	trash	fast food restaurant
00121	0.010164955891578781	place	order	trays and trash	fast food restaurant
00122	0.014431823534632335	place	order	menu	fast food restaurant
00123	0.002960727967119808	place	order	bill	fast food restaurant
00124	0.013011971238726468	place	order	counter	fast food restaurant
