id	score	v	d-obj	p	p-title
00001	?	call	dog	food	dog
00002	?	call	dog	dog food	dog
00003	?	call	dog	tin of dog food	dog
00004	?	call	dog	tin	dog
00005	?	call	dog	pet	dog
00006	?	call	dog	can of petfood	dog
00007	?	call	dog	floor	dog
00008	?	call	dog	dogs	dog
00009	?	call	dog	dog	dog
00010	?	call	dog	dish	dog
00011	?	call	dog	bowl	dog
00012	?	call	dog	tin opener	dog
00013	?	call	dog	can opener	dog
00014	?	call	dog	dog s	dog
00015	?	put	food	food	dog
00016	?	put	food	dog food	dog
00017	?	put	food	tin of dog food	dog
00018	?	put	food	tin	dog
00019	?	put	food	pet	dog
00020	?	put	food	can of petfood	dog
00021	?	put	food	floor	dog
00022	?	put	food	dogs	dog
00023	?	put	food	dog	dog
00024	?	put	food	dish	dog
00025	?	put	food	bowl	dog
00026	?	put	food	tin opener	dog
00027	?	put	food	can opener	dog
00028	?	put	food	dog s	dog
00029	?	open	bag	food	dog
00030	?	open	bag	dog food	dog
00031	?	open	bag	tin of dog food	dog
00032	?	open	bag	tin	dog
00033	?	open	bag	pet	dog
00034	?	open	bag	can of petfood	dog
00035	?	open	bag	floor	dog
00036	?	open	bag	dogs	dog
00037	?	open	bag	dog	dog
00038	?	open	bag	dish	dog
00039	?	open	bag	bowl	dog
00040	?	open	bag	tin opener	dog
00041	?	open	bag	can opener	dog
00042	?	open	bag	dog s	dog
00043	?	pour	water	food	dog
00044	?	pour	water	dog food	dog
00045	?	pour	water	tin of dog food	dog
00046	?	pour	water	tin	dog
00047	?	pour	water	pet	dog
00048	?	pour	water	can of petfood	dog
00049	?	pour	water	floor	dog
00050	?	pour	water	dogs	dog
00051	?	pour	water	dog	dog
00052	?	pour	water	dish	dog
00053	?	pour	water	bowl	dog
00054	?	pour	water	tin opener	dog
00055	?	pour	water	can opener	dog
00056	?	pour	water	dog s	dog
00057	?	identify	dog food	food	dog
00058	?	identify	dog food	dog food	dog
00059	?	identify	dog food	tin of dog food	dog
00060	?	identify	dog food	tin	dog
00061	?	identify	dog food	pet	dog
00062	?	identify	dog food	can of petfood	dog
00063	?	identify	dog food	floor	dog
00064	?	identify	dog food	dogs	dog
00065	?	identify	dog food	dog	dog
00066	?	identify	dog food	dish	dog
00067	?	identify	dog food	bowl	dog
00068	?	identify	dog food	tin opener	dog
00069	?	identify	dog food	can opener	dog
00070	?	identify	dog food	dog s	dog
00071	?	find	measuring cup	food	dog
00072	?	find	measuring cup	dog food	dog
00073	?	find	measuring cup	tin of dog food	dog
00074	?	find	measuring cup	tin	dog
00075	?	find	measuring cup	pet	dog
00076	?	find	measuring cup	can of petfood	dog
00077	?	find	measuring cup	floor	dog
00078	?	find	measuring cup	dogs	dog
00079	?	find	measuring cup	dog	dog
00080	?	find	measuring cup	dish	dog
00081	?	find	measuring cup	bowl	dog
00082	?	find	measuring cup	tin opener	dog
00083	?	find	measuring cup	can opener	dog
00084	?	find	measuring cup	dog s	dog
00085	?	pour	contents	food	dog
00086	?	pour	contents	dog food	dog
00087	?	pour	contents	tin of dog food	dog
00088	?	pour	contents	tin	dog
00089	?	pour	contents	pet	dog
00090	?	pour	contents	can of petfood	dog
00091	?	pour	contents	floor	dog
00092	?	pour	contents	dogs	dog
00093	?	pour	contents	dog	dog
00094	?	pour	contents	dish	dog
00095	?	pour	contents	bowl	dog
00096	?	pour	contents	tin opener	dog
00097	?	pour	contents	can opener	dog
