text,label
"Bia ka ịmara na ndị mkpuke ùnu esokwa n'ife ana eme! We are profiling communities in Alaigbo and their #coronavirus intervention programmes. First, stop #Onitsha #Nduka #OnyeAghanaNwanneYa https://t.co/reHIzUUW3y",neutral
NP Kpo Kpo Di Kpo @FAZErefazed #TrendingWednesday #VentingPage #NightCafe w/ @talktorani,positive
Nna Munachi Abii mmara nma mmadu hundred. Insane beauty.,neutral
@love_oluebube @stgorzhye Afam ba gi onu eh 🙄,negative
Reposted from bbcnewsigbo (get_regrann) - Ka anyị soro nụ zoroswagbag na #nkemowohosuofia yọrọtụ nwa egwu na mgbede ka ụwa na-aga💃💃💃💃💃 📷: zoroswagbag #bbcigbo #bbcnewsigbo #igbo #egwu #omenaala #Igboamaka #dance… https://t.co/864GAGZD1V,neutral
Ndu chineke nyerem🤣🤣🤣 https://t.co/aEM67L0rOC,positive
Otu a ka odi 👏👏👏 https://t.co/sXSb7clEBU,neutral
Nna Ike Gwuru ooo. 😂 https://t.co/NDS7juFBGd,negative
"No Genevieve or Omotola, bia ogini mega here? 🙄 https://t.co/Gm2Tp4VI6O",neutral
@chemicalbrodar Chineke nna kezi mgbe ole???,negative
NP 📻🔊🎧Onye Eze - @cdqolowo @Zlatan_Ibile 🔥 #morningdrivelagos #moremusicradio #Wednesday @nanyaoriginal 💫 @Lerinnic 💫 @djknightNG 💫 We 💞 🎶🎶🎶,positive
@hunchodarocksta Wats this? Onye ka nwa bu? 😂,neutral
@Ikhuoria_ Onye bu Pastor🙄😪😪,neutral
@DeleMomodu Umu nwanyi na emesi Ife Ike na eko,neutral
Dalụ ezigbo mmadụ! 🙌🙌🙌 https://t.co/eEgrIznXfk,positive
@AdannaPapa @AkiMarlin @chaigzy @HonNonny @Poshfelly @loistruly @Jydeskillz @chukydyk2 @tysalihu @EnebeliSam Nwanne ọ dịghị eazy ma na asị nọ azọ ta ndụ tu pu ekwube Ive afọ ga eri.....,neutral
"Umunna, Bikonu obulu na emwelu onye na aria oria mamilli n’ ebea.. Na enwero ike iztanwu machine oga eji na elele onwe ya ahu onye di otua gwam k’am nye ya machine aa... P:S Strip adiro n’ ime yaa... https://t.co/KaBWa6O6Tv",neutral
@Dlaureate @kingofdiiamonds Nne rapu Onye Isi mgbaka 😂,negative
💨 egbunam oge #street @ Chukwuemeka Odumegwu Ojukwu University Uli https://t.co/HuqaWKCwIq,neutral
@Sapientia953FM good Afternoon Hugeman &amp; JJ Juventus gave Napoli ego aga enye onye ga e win Champions League 2016/17 maka Higuain? Egwu di,positive
@HonNonny My manchi like forever Daalụ 🙏🙏👍👌💖. Ụbọchị ọnyem,positive
Lol. Isi adirokwanu gi nma.. 😐😒😒😒 https://t.co/5gzmgYk6RW,negative
@Mof_jones haha. Fulani herdsmen. akpa amu gi retweet. Rie nsi 😝,negative
#SenatorAbaribe Chukwuabiama gọzie gị 🙌 https://t.co/6loCV5pjU6,positive
Nna ghetto di gi na aru biko!!! https://t.co/4G9bzI4uKG,negative
@derealeMorgan @ola_bellyx @von_Bismack Umu Israelite...ihe de Chukwu goziri agozi...we don't fail to succeed,positive
"Atụla egwu, amakwala jijiji, kwụdosie-ike nime ọnọdụ ọ bụla, n’ihi na Jehova bụ Chineke gị so gị n'aga. Ọ gaghị agbahapụ gị, Ọ gaghịkwa arapụ gị ma ọlị, Ọ gaghị ekwe kwa ka ihere me gị. Mmeri g'abụ nke gị na afa Jizọs Kraịst... 🙏🏾",positive
@drizzy_ace @AfamDeluxo @EstherDeity Okwu obulu nri,neutral
@renoomokri Ezigbo onye iberibe,negative
Bukolaaaaaa. Love atogbuo gi https://t.co/5V0cMBFccq,positive
"Ọsọ ndị o we ndị,🤣🤣 https://t.co/34AiAkmXDv",neutral
@Dlaureate @JhuydeethOras Bribe kwa... Onye ka' gi bu?.😌,neutral
Nzogbu adighi Nwa Chineke https://t.co/ciR1W7OgZg,positive
"Egbe 🔫 gbatue ọsa🐿;ọsa🐿 wee si n'elu 👆 daa dakwasa Eke 🐍, Eke🐍 na ịgba ọsọ🏃‍♂️ ndụ ya na dinta ịgbara🔫 Eke 🐍 Debe na-ala.Eke 🐍 na anụ ndụ ọnwụ ☠ ma na-ebe 😭#AgwakwaraM #Osa🐿 ihe a #Agwa n'oge ; ọsa🐿 #egbukwaanu m 🙆‍♂️. #IgboTwitterCommunity #IgboInvasion. https://t.co/aLrWZXJxTa",neutral
Thief!!!!! Ole!!! Barawo!!! Onye oshi!!!! https://t.co/PzG1OhDP5v,negative
@cchukudebelu Chukwu gọzie gị 🙏 https://t.co/E69OJp2VEX,positive
Kelechi nwa afo 🙌🏾 https://t.co/YVfqJOOShK,positive
Chukwu nna! Afam ị gaghị egbu mmadụ na app a. https://t.co/sjaIvDTWYp,negative
Igbo be anyi na e 'tlend' kwa kwa ozo di ka o si ada akpotu. @AfamDeluxo mpa @Mazigburugburu1 daalu nu rine!,positive
