id	score	v	d-obj	p	p-title
000001	?	put	soap	washer	laundry
000002	?	put	soap	washing machine	laundry
000003	?	put	soap	laundry soap	laundry
000004	?	put	soap	detergent	laundry
000005	?	put	soap	wash cycle	laundry
000006	?	put	soap	cycle	laundry
000007	?	put	soap	basket	laundry
000008	?	put	soap	washing program	laundry
000009	?	put	soap	program	laundry
000010	?	put	soap	warm water	laundry
000011	?	put	soap	water	laundry
000012	?	put	soap	drawer	laundry
000013	?	put	soap	powder drawer	laundry
000014	?	put	soap	required powder amount	laundry
000015	?	put	soap	1 measure of powder liquid soap	laundry
000016	?	put	soap	items	laundry
000017	?	put	soap	piece	laundry
000018	?	put	soap	dryer	laundry
000019	?	put	soap	1 measure	laundry
000020	?	put	soap	one half cup of deterget	laundry
000021	?	put	soap	dirty clothes	laundry
000022	?	put	soap	clothes	laundry
000023	?	put	soap	washing machine lid	laundry
000024	?	put	soap	lid	laundry
000025	?	put	soap	dirty laundry	laundry
000026	?	put	soap	washer settings	laundry
000027	?	put	soap	settings	laundry
000028	?	put	soap	start	laundry
000029	?	put	soap	button	laundry
000030	?	put	soap	color	laundry
000031	?	put	soap	colors	laundry
000032	?	wash	white clothes	washer	laundry
000033	?	wash	white clothes	washing machine	laundry
000034	?	wash	white clothes	laundry soap	laundry
000035	?	wash	white clothes	detergent	laundry
000036	?	wash	white clothes	wash cycle	laundry
000037	?	wash	white clothes	cycle	laundry
000038	?	wash	white clothes	basket	laundry
000039	?	wash	white clothes	washing program	laundry
000040	?	wash	white clothes	program	laundry
000041	?	wash	white clothes	warm water	laundry
000042	?	wash	white clothes	water	laundry
000043	?	wash	white clothes	drawer	laundry
000044	?	wash	white clothes	powder drawer	laundry
000045	?	wash	white clothes	required powder amount	laundry
000046	?	wash	white clothes	1 measure of powder liquid soap	laundry
000047	?	wash	white clothes	items	laundry
000048	?	wash	white clothes	piece	laundry
000049	?	wash	white clothes	dryer	laundry
000050	?	wash	white clothes	1 measure	laundry
000051	?	wash	white clothes	one half cup of deterget	laundry
