id	score	v	d-obj	p	p-title
000001	?	take	new plate	replacement food	food
000002	?	take	new plate	returns	food
000003	?	take	new plate	issue	food
000004	?	take	new plate	waiter	food
000005	?	take	new plate	server	food
000006	?	take	new plate	wait staff of problem	food
000007	?	take	new plate	wait for new order	food
000008	?	take	new plate	you	food
000009	?	take	new plate	table	food
000010	?	take	new plate	flag	food
000011	?	take	new plate	new dish	food
000012	?	take	new plate	waiter problem	food
000013	?	take	new plate	problem	food
000014	?	take	new plate	good tip	food
000015	?	take	new plate	higher tip	food
000016	?	take	new plate	chef complaint	food
000017	?	take	new plate	reason	food
000018	?	take	new plate	him	food
000019	?	take	new plate	waitress	food
000020	?	take	new plate	new plate of food	food
000021	?	take	new plate	waitstaff	food
000022	?	take	new plate	server s attention	food
000023	?	take	new plate	waitress attention	food
000024	?	take	new plate	server s	food
000025	?	take	new plate	replacement meal	food
000026	?	take	new plate	new meal	food
000027	?	take	new plate	chef	food
000028	?	take	new plate	chef complaint of food	food
000029	?	show	bad parts	replacement food	food
000030	?	show	bad parts	returns	food
000031	?	show	bad parts	issue	food
000032	?	show	bad parts	waiter	food
000033	?	show	bad parts	server	food
000034	?	show	bad parts	wait staff of problem	food
000035	?	show	bad parts	wait for new order	food
000036	?	show	bad parts	you	food
000037	?	show	bad parts	table	food
000038	?	show	bad parts	flag	food
000039	?	show	bad parts	new dish	food
000040	?	show	bad parts	new plate	food
000041	?	show	bad parts	waiter problem	food
000042	?	show	bad parts	problem	food
000043	?	show	bad parts	good tip	food
000044	?	show	bad parts	higher tip	food
000045	?	show	bad parts	chef complaint	food
000046	?	show	bad parts	reason	food
000047	?	show	bad parts	him	food
000048	?	show	bad parts	waitress	food
000049	?	show	bad parts	new plate of food	food
000050	?	show	bad parts	waitstaff	food
000051	?	show	bad parts	server s attention	food
000052	?	show	bad parts	waitress attention	food
000053	?	show	bad parts	server s	food
000054	?	show	bad parts	replacement meal	food
000055	?	show	bad parts	new meal	food
000056	?	show	bad parts	chef	food
000057	?	show	bad parts	chef complaint of food	food
000058	?	explain	problem	replacement food	food
000059	?	explain	problem	returns	food
000060	?	explain	problem	issue	food
000061	?	explain	problem	waiter	food
000062	?	explain	problem	server	food
000063	?	explain	problem	wait staff of problem	food
000064	?	explain	problem	wait for new order	food
000065	?	explain	problem	you	food
000066	?	explain	problem	table	food
000067	?	explain	problem	flag	food
000068	?	explain	problem	new dish	food
000069	?	explain	problem	new plate	food
000070	?	explain	problem	waiter problem	food
000071	?	explain	problem	good tip	food
000072	?	explain	problem	higher tip	food
000073	?	explain	problem	chef complaint	food
000074	?	explain	problem	reason	food
000075	?	explain	problem	him	food
000076	?	explain	problem	waitress	food
000077	?	explain	problem	new plate of food	food
000078	?	explain	problem	waitstaff	food
000079	?	explain	problem	server s attention	food
000080	?	explain	problem	waitress attention	food
000081	?	explain	problem	server s	food
000082	?	explain	problem	replacement meal	food
000083	?	explain	problem	new meal	food
000084	?	explain	problem	chef	food
000085	?	explain	problem	chef complaint of food	food
000086	?	bring	food	replacement food	food
000087	?	bring	food	returns	food
000088	?	bring	food	issue	food
000089	?	bring	food	waiter	food
000090	?	bring	food	server	food
000091	?	bring	food	wait staff of problem	food
000092	?	bring	food	wait for new order	food
000093	?	bring	food	you	food
000094	?	bring	food	table	food
000095	?	bring	food	flag	food
000096	?	bring	food	new dish	food
000097	?	bring	food	new plate	food
000098	?	bring	food	waiter problem	food
000099	?	bring	food	problem	food
000100	?	bring	food	good tip	food
000101	?	bring	food	higher tip	food
000102	?	bring	food	chef complaint	food
000103	?	bring	food	reason	food
000104	?	bring	food	him	food
000105	?	bring	food	waitress	food
000106	?	bring	food	new plate of food	food
000107	?	bring	food	waitstaff	food
000108	?	bring	food	server s attention	food
000109	?	bring	food	waitress attention	food
000110	?	bring	food	server s	food
000111	?	bring	food	replacement meal	food
000112	?	bring	food	new meal	food
000113	?	bring	food	chef	food
000114	?	bring	food	chef complaint of food	food
000115	?	hand	dish	replacement food	food
000116	?	hand	dish	returns	food
000117	?	hand	dish	issue	food
000118	?	hand	dish	waiter	food
000119	?	hand	dish	server	food
000120	?	hand	dish	wait staff of problem	food
000121	?	hand	dish	wait for new order	food
000122	?	hand	dish	you	food
000123	?	hand	dish	table	food
000124	?	hand	dish	flag	food
000125	?	hand	dish	new dish	food
000126	?	hand	dish	new plate	food
000127	?	hand	dish	waiter problem	food
000128	?	hand	dish	problem	food
000129	?	hand	dish	good tip	food
000130	?	hand	dish	higher tip	food
000131	?	hand	dish	chef complaint	food
000132	?	hand	dish	reason	food
000133	?	hand	dish	him	food
000134	?	hand	dish	waitress	food
000135	?	hand	dish	new plate of food	food
000136	?	hand	dish	waitstaff	food
000137	?	hand	dish	server s attention	food
000138	?	hand	dish	waitress attention	food
000139	?	hand	dish	server s	food
000140	?	hand	dish	replacement meal	food
000141	?	hand	dish	new meal	food
000142	?	hand	dish	chef	food
000143	?	hand	dish	chef complaint of food	food
000144	?	dislike	food	replacement food	food
000145	?	dislike	food	returns	food
000146	?	dislike	food	issue	food
000147	?	dislike	food	waiter	food
000148	?	dislike	food	server	food
000149	?	dislike	food	wait staff of problem	food
000150	?	dislike	food	wait for new order	food
000151	?	dislike	food	you	food
000152	?	dislike	food	table	food
000153	?	dislike	food	flag	food
000154	?	dislike	food	new dish	food
000155	?	dislike	food	new plate	food
000156	?	dislike	food	waiter problem	food
000157	?	dislike	food	problem	food
000158	?	dislike	food	good tip	food
000159	?	dislike	food	higher tip	food
000160	?	dislike	food	chef complaint	food
000161	?	dislike	food	reason	food
000162	?	dislike	food	him	food
000163	?	dislike	food	waitress	food
000164	?	dislike	food	new plate of food	food
000165	?	dislike	food	waitstaff	food
000166	?	dislike	food	server s attention	food
000167	?	dislike	food	waitress attention	food
000168	?	dislike	food	server s	food
000169	?	dislike	food	replacement meal	food
000170	?	dislike	food	new meal	food
000171	?	dislike	food	chef	food
000172	?	dislike	food	chef complaint of food	food
000173	?	get	waitress attention	replacement food	food
