'id'	'score'	'v'	'd-obj'	'p'	'p-title'
2	0.1311224635	'call'	'dog'	'dog food'	'dog'
1	0.0911137603	'call'	'dog'	'food'	'dog'
908	0.0667666731	'put'	'dog food'	'food'	'dog'
14	0.0580118052	'put'	'food'	'dog food'	'dog'
314	0.0549053694	'open'	'dog food bag'	'dog food'	'dog'
10	0.0528883272	'call'	'dog'	'bowl'	'dog'
920	0.0476904808	'get'	'dog food'	'food'	'dog'
552	0.041179027	'measure'	'food'	'dog food'	'dog'
655	0.041179027	'feed'	'dog'	'dog food'	'dog'
916	0.038755701	'put'	'dog food'	'bowl'	'dog'
313	0.0381523846	'open'	'dog food bag'	'food'	'dog'
377	0.0325911373	'pour'	'food'	'dog food'	'dog'
13	0.0300406706	'call'	'dog'	'dog s'	'dog'
9	0.0296865829	'call'	'dog'	'dish'	'dog'
654	0.0286142885	'feed'	'dog'	'food'	'dog'
933	0.0285979959	'place'	'bowl'	'dog food'	'dog'
928	0.0276826436	'get'	'dog food'	'bowl'	'dog'
846	0.0274526847	'pour'	'it'	'dog food'	'dog'
289	0.0238404479	'scoop'	'food'	'dog food'	'dog'
871	0.0238404479	'give'	'bowl'	'dog food'	'dog'
22	0.0233990977	'put'	'food'	'bowl'	'dog'
322	0.0221461149	'open'	'dog food bag'	'bowl'	'dog'
919	0.022013312	'put'	'dog food'	'dog s'	'dog'
944	0.0217544269	'get'	'food'	'dog food'	'dog'
915	0.0217538424	'put'	'dog food'	'dish'	'dog'
27	0.0202282111	'open'	'bag'	'dog food'	'dog'
603	0.0202282111	'open'	'food'	'dog food'	'dog'
932	0.0198720408	'place'	'bowl'	'food'	'dog'
90	0.0190761923	'take'	'dog food'	'food'	'dog'
402	0.0190761923	'find'	'dog food'	'food'	'dog'
693	0.0190761923	'pour'	'dog food'	'food'	'dog'
769	0.0190761923	'open'	'dog food'	'food'	'dog'
845	0.0190761923	'pour'	'it'	'food'	'dog'
327	0.0190653306	'get'	'bowl'	'dog food'	'dog'
451	0.017311854	'give'	'food'	'dog food'	'dog'
560	0.0166095862	'measure'	'food'	'bowl'	'dog'
663	0.0166095862	'feed'	'dog'	'bowl'	'dog'
870	0.0165661382	'give'	'bowl'	'food'	'dog'
5	0.0165644351	'call'	'dog'	'pet'	'dog'
115	0.016002165	'take'	'food'	'dog food'	'dog'
439	0.016002165	'place'	'food'	'dog food'	'dog'
931	0.0157237943	'get'	'dog food'	'dog s'	'dog'
927	0.0155384588	'get'	'dog food'	'dish'	'dog'
26	0.0140560841	'open'	'bag'	'food'	'dog'
65	0.0137263423	'find'	'measuring cup'	'dog food'	'dog'
103	0.0137263423	'feed'	'dpog'	'dog food'	'dog'
154	0.0137263423	'put'	'tin opener'	'dog food'	'dog'
191	0.0137263423	'get'	'dogs bowl'	'dog food'	'dog'
229	0.0137263423	'identify'	'dog dish'	'dog food'	'dog'
242	0.0137263423	'feed'	'dogs'	'dog food'	'dog'
339	0.0137263423	'put'	'food bag'	'dog food'	'dog'
365	0.0137263423	'poor'	'it'	'dog food'	'dog'
390	0.0137263423	'catch'	'pet dog'	'dog food'	'dog'
427	0.0137263423	'put'	'food tin'	'dog food'	'dog'
464	0.0137263423	'place'	'dog food dish'	'dog food'	'dog'
477	0.0137263423	'locate'	'dogs bowl'	'dog food'	'dog'
490	0.0137263423	'find'	'canned food'	'dog food'	'dog'
503	0.0137263423	'encourage'	'dog'	'dog food'	'dog'
516	0.0137263423	'find'	'dog dish'	'dog food'	'dog'
529	0.0137263423	'put'	'tin'	'dog food'	'dog'
565	0.0137263423	'pour'	'dry food'	'dog food'	'dog'
668	0.0137263423	'put'	'pet foods'	'dog food'	'dog'
681	0.0137263423	'find'	'dry food'	'dog food'	'dog'
719	0.0137263423	'open'	'tin'	'dog food'	'dog'
731	0.0137263423	'alert'	'dog'	'dog food'	'dog'
744	0.0137263423	'pour'	'specified quantity'	'dog food'	'dog'
757	0.0137263423	'call'	'dag'	'dog food'	'dog'
782	0.0137263423	'put'	'full food dish'	'dog food'	'dog'
795	0.0137263423	'take'	'food dish'	'dog food'	'dog'
821	0.0137263423	'get'	'tin opener'	'dog food'	'dog'
883	0.0137263423	'clean'	'dog dish'	'dog food'	'dog'
896	0.0137263423	'tip'	'bag'	'dog food'	'dog'
957	0.0137263423	'notify'	'dog'	'dog food'	'dog'
