id	score	v	d-obj	p	p-title
000001	?	call	dog	food	dog
000002	?	call	dog	dog food	dog
000003	?	call	dog	tin of dog food	dog
000004	?	call	dog	tin	dog
000005	?	call	dog	pet	dog
000006	?	call	dog	can of petfood	dog
000007	?	call	dog	floor	dog
000008	?	call	dog	dogs	dog
000009	?	call	dog	dish	dog
000010	?	call	dog	bowl	dog
000011	?	call	dog	tin opener	dog
000012	?	call	dog	can opener	dog
000013	?	call	dog	dog s	dog
000014	?	put	food	dog food	dog
000015	?	put	food	tin of dog food	dog
000016	?	put	food	tin	dog
000017	?	put	food	pet	dog
000018	?	put	food	can of petfood	dog
000019	?	put	food	floor	dog
000020	?	put	food	dogs	dog
000021	?	put	food	dish	dog
000022	?	put	food	bowl	dog
000023	?	put	food	tin opener	dog
000024	?	put	food	can opener	dog
000025	?	put	food	dog s	dog
000026	?	open	bag	food	dog
000027	?	open	bag	dog food	dog
000028	?	open	bag	tin of dog food	dog
000029	?	open	bag	tin	dog
000030	?	open	bag	pet	dog
000031	?	open	bag	can of petfood	dog
000032	?	open	bag	floor	dog
000033	?	open	bag	dogs	dog
000034	?	open	bag	dish	dog
000035	?	open	bag	bowl	dog
000036	?	open	bag	tin opener	dog
000037	?	open	bag	can opener	dog
000038	?	open	bag	dog s	dog
000039	?	pour	water	food	dog
000040	?	pour	water	dog food	dog
000041	?	pour	water	tin of dog food	dog
000042	?	pour	water	tin	dog
000043	?	pour	water	pet	dog
000044	?	pour	water	can of petfood	dog
000045	?	pour	water	floor	dog
000046	?	pour	water	dogs	dog
000047	?	pour	water	dish	dog
000048	?	pour	water	bowl	dog
000049	?	pour	water	tin opener	dog
000050	?	pour	water	can opener	dog
000051	?	pour	water	dog s	dog
000052	?	identify	dog food	food	dog
000053	?	identify	dog food	tin of dog food	dog
000054	?	identify	dog food	tin	dog
000055	?	identify	dog food	pet	dog
000056	?	identify	dog food	can of petfood	dog
000057	?	identify	dog food	floor	dog
000058	?	identify	dog food	dogs	dog
000059	?	identify	dog food	dish	dog
000060	?	identify	dog food	bowl	dog
000061	?	identify	dog food	tin opener	dog
000062	?	identify	dog food	can opener	dog
000063	?	identify	dog food	dog s	dog
000064	?	find	measuring cup	food	dog
000065	?	find	measuring cup	dog food	dog
000066	?	find	measuring cup	tin of dog food	dog
000067	?	find	measuring cup	tin	dog
000068	?	find	measuring cup	pet	dog
000069	?	find	measuring cup	can of petfood	dog
000070	?	find	measuring cup	floor	dog
000071	?	find	measuring cup	dogs	dog
000072	?	find	measuring cup	dish	dog
