id	score	v	d-obj	p	p-title
00001	?	put	soap	washer	laundry
00002	?	put	soap	washing machine	laundry
00003	?	put	soap	laundry soap	laundry
00004	?	put	soap	detergent	laundry
00005	?	put	soap	wash cycle	laundry
00006	?	put	soap	cycle	laundry
00007	?	put	soap	basket	laundry
00008	?	put	soap	washing program	laundry
00009	?	put	soap	program	laundry
00010	?	put	soap	warm water	laundry
00011	?	put	soap	water	laundry
00012	?	put	soap	drawer	laundry
00013	?	put	soap	powder drawer	laundry
00014	?	put	soap	required powder amount	laundry
00015	?	put	soap	1 measure of powder liquid soap	laundry
00016	?	put	soap	items	laundry
00017	?	put	soap	piece	laundry
00018	?	put	soap	dryer	laundry
00019	?	put	soap	1 measure	laundry
00020	?	put	soap	one half cup of deterget	laundry
00021	?	put	soap	dirty clothes	laundry
00022	?	put	soap	clothes	laundry
00023	?	put	soap	washing machine lid	laundry
00024	?	put	soap	lid	laundry
00025	?	put	soap	dirty laundry	laundry
00026	?	put	soap	washer settings	laundry
00027	?	put	soap	settings	laundry
00028	?	put	soap	start	laundry
00029	?	put	soap	button	laundry
00030	?	put	soap	color	laundry
00031	?	put	soap	colors	laundry
00032	?	wash	white clothes	washer	laundry
00033	?	wash	white clothes	washing machine	laundry
00034	?	wash	white clothes	laundry soap	laundry
00035	?	wash	white clothes	detergent	laundry
00036	?	wash	white clothes	wash cycle	laundry
00037	?	wash	white clothes	cycle	laundry
00038	?	wash	white clothes	basket	laundry
00039	?	wash	white clothes	washing program	laundry
00040	?	wash	white clothes	program	laundry
00041	?	wash	white clothes	warm water	laundry
00042	?	wash	white clothes	water	laundry
00043	?	wash	white clothes	drawer	laundry
00044	?	wash	white clothes	powder drawer	laundry
00045	?	wash	white clothes	required powder amount	laundry
00046	?	wash	white clothes	1 measure of powder liquid soap	laundry
00047	?	wash	white clothes	items	laundry
00048	?	wash	white clothes	piece	laundry
00049	?	wash	white clothes	dryer	laundry
00050	?	wash	white clothes	1 measure	laundry
00051	?	wash	white clothes	one half cup of deterget	laundry
00052	?	wash	white clothes	dirty clothes	laundry
00053	?	wash	white clothes	clothes	laundry
00054	?	wash	white clothes	washing machine lid	laundry
00055	?	wash	white clothes	lid	laundry
00056	?	wash	white clothes	dirty laundry	laundry
00057	?	wash	white clothes	washer settings	laundry
00058	?	wash	white clothes	settings	laundry
00059	?	wash	white clothes	start	laundry
00060	?	wash	white clothes	button	laundry
00061	?	wash	white clothes	color	laundry
00062	?	wash	white clothes	colors	laundry
00063	?	add	laundry detergent	washer	laundry
00064	?	add	laundry detergent	washing machine	laundry
00065	?	add	laundry detergent	laundry soap	laundry
00066	?	add	laundry detergent	detergent	laundry
00067	?	add	laundry detergent	wash cycle	laundry
00068	?	add	laundry detergent	cycle	laundry
00069	?	add	laundry detergent	basket	laundry
00070	?	add	laundry detergent	washing program	laundry
00071	?	add	laundry detergent	program	laundry
00072	?	add	laundry detergent	warm water	laundry
00073	?	add	laundry detergent	water	laundry
00074	?	add	laundry detergent	drawer	laundry
00075	?	add	laundry detergent	powder drawer	laundry
00076	?	add	laundry detergent	required powder amount	laundry
00077	?	add	laundry detergent	1 measure of powder liquid soap	laundry
00078	?	add	laundry detergent	items	laundry
00079	?	add	laundry detergent	piece	laundry
00080	?	add	laundry detergent	dryer	laundry
00081	?	add	laundry detergent	1 measure	laundry
00082	?	add	laundry detergent	one half cup of deterget	laundry
00083	?	add	laundry detergent	dirty clothes	laundry
00084	?	add	laundry detergent	clothes	laundry
00085	?	add	laundry detergent	washing machine lid	laundry
00086	?	add	laundry detergent	lid	laundry
00087	?	add	laundry detergent	dirty laundry	laundry
00088	?	add	laundry detergent	washer settings	laundry
00089	?	add	laundry detergent	settings	laundry
00090	?	add	laundry detergent	start	laundry
00091	?	add	laundry detergent	button	laundry
00092	?	add	laundry detergent	color	laundry
00093	?	add	laundry detergent	colors	laundry
00094	?	put	group	washer	laundry
00095	?	put	group	washing machine	laundry
00096	?	put	group	laundry soap	laundry
00097	?	put	group	detergent	laundry
00098	?	put	group	wash cycle	laundry
00099	?	put	group	cycle	laundry
00100	?	put	group	basket	laundry
00101	?	put	group	washing program	laundry
00102	?	put	group	program	laundry
00103	?	put	group	warm water	laundry
00104	?	put	group	water	laundry
00105	?	put	group	drawer	laundry
00106	?	put	group	powder drawer	laundry
00107	?	put	group	required powder amount	laundry
00108	?	put	group	1 measure of powder liquid soap	laundry
00109	?	put	group	items	laundry
00110	?	put	group	piece	laundry
00111	?	put	group	dryer	laundry
00112	?	put	group	1 measure	laundry
00113	?	put	group	one half cup of deterget	laundry
00114	?	put	group	dirty clothes	laundry
00115	?	put	group	clothes	laundry
00116	?	put	group	washing machine lid	laundry
00117	?	put	group	lid	laundry
00118	?	put	group	dirty laundry	laundry
00119	?	put	group	washer settings	laundry
00120	?	put	group	settings	laundry
00121	?	put	group	start	laundry
00122	?	put	group	button	laundry
00123	?	put	group	color	laundry
00124	?	put	group	colors	laundry
00125	?	add	soap	washer	laundry
00126	?	add	soap	washing machine	laundry
00127	?	add	soap	laundry soap	laundry
00128	?	add	soap	detergent	laundry
00129	?	add	soap	wash cycle	laundry
00130	?	add	soap	cycle	laundry
00131	?	add	soap	basket	laundry
00132	?	add	soap	washing program	laundry
00133	?	add	soap	program	laundry
00134	?	add	soap	warm water	laundry
00135	?	add	soap	water	laundry
00136	?	add	soap	drawer	laundry
00137	?	add	soap	powder drawer	laundry
00138	?	add	soap	required powder amount	laundry
00139	?	add	soap	1 measure of powder liquid soap	laundry
00140	?	add	soap	items	laundry
00141	?	add	soap	piece	laundry
00142	?	add	soap	dryer	laundry
00143	?	add	soap	1 measure	laundry
00144	?	add	soap	one half cup of deterget	laundry
00145	?	add	soap	dirty clothes	laundry
00146	?	add	soap	clothes	laundry
00147	?	add	soap	washing machine lid	laundry
00148	?	add	soap	lid	laundry
