call over server,Call the waiter,taste the food,call waiter,find something wrong with it,decide to say anything or not,notify wait staff of problem,Get server's attention,taste food,flag down waiter,Get server's attention,Flag down the waiter,don't like the food,call server to table,be polite,eat the food,waiter asks me why?,find defect in the food
explain whats wrong,Explain problem,decide to complain,explain problem,ask a server to examine it,call for waiter,food will be returned to chef,Describe problem,dislike food,tell him what's wrong,Tell what is wrong with food,Explain why the food sucks,call waiter,comment about food,explain to the waitress,if not good  return it,I state the reason,call the bearer
hand dish back to server,The waiter apologizes,get waitress attention,waiter takes food back,wait for a new dish,tell waiter problem with food,chef will correct issue,Server takes food back,attract attention of server,order something else,Ask for a new plate of food,Ask him to have another made,complain about food,server returns food to kitchen,request a replacement meal,place a new order,waiter apologises,complaints
wait for new dish,Your food is taken back,explain the problem,you wait,enjoy,apologize for complaining,waitstaff will bring food back,Problem is corrected,complain to server,waiter takes dish away,Wait for your new plate,Inspect the new plate,annoying,tell chef complaint of food,thank the waitress,now taste it as well,waiter takes back the food,make another order
get refund,You get a new plate of food,show her the bad parts,cook prepairs new dish,leave a good tip,kindly request money back,thank waitstaff for correcting,food is returned,hand plate to server,continue eating other food,Server brings a new meal,Send back the old one,waiter changes food,chef prepares new food,thank the chef,specify the quality as comment,i wait for the new order,delete money for that food
null,null,ask her to take back the food,new plate of food is brought,null,null,null,hopefully everyone is happy,wait for new food,new dish arrives,Eat meal,null,brings new food,food brought back to table,leave a higher tip,null,waiter brings in the food,null
null,null,wait for replacement food,you take new plate,null,null,null,null,null,eat,null,null,still the same,null,null,null,null,null
null,null,try out the replacement food,thank waiter,null,null,null,null,null,null,null,null,speak to manager,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,complain to him or her,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,order different dish,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,or leave restaurant,null,null,null,null,null
