text,label
@bbchausa Waye minlitan ilimi kuma? 🤔🤔,neutral
@RFI_Ha Innalillahi wa'ina ilaihim raji'u 😭😭😭😭 Ya Allah kana ganin halin da muke ciki Ya Allah kawo mana dauki Amma wllh Allah shugaban nin kasar mu hakkine a kanku wllh Kuma karku manta Allah yabaku shugaban cine badan kuyi abuda kuke soba aaa Allah y Baku ne dn al'uma,positive
@bbchausa Da kudin da Arewa babu wani abin azo agani da yayi wa alummah allah ya isa yacucemu wlh yarikitamana kasa yarikitamana kasuwanci harkar ilimi harkar lfy hanyoyi babu lantarki dasuransu komai yalalace ga cinhanci da rashawa a fili ko ina a Nigeria jamiyaryar su tabataman mlm 😭🗣,negative
@Hausafilmsnews @OfficialMSharif @alinuhu 🔥🔥har gobe ruwa na maganin dauda gaskia umar sarki ne,positive
@RFI_Ha Aradu ya dauki kashedi🤣,neutral
@bbchausa Kaga wani Adu ar Banda💔😭 wai a haka Shi ne shugaban sojoji.... Gaskiya Buhari kaci Amanan mu da kasa wannan mutum ah wajen nan,negative
@bbchausa Tab wannan kungiya batayi ba mukam aljihunmu abude yake hadi da hannunmu hannunmu a bude yake🖑🖐🖐bama dunquli hannu✊✊✊,neutral
@bbchausa Sai haquri fa yan madrid daman kunce champion din ya muku yawa😂,negative
@Rahma_sadau Mun raba jaha a nan kuma🙄🙄,neutral
@bbchausa ya allah kakawou karchan kafrici damak kafire duniya ya rabih 😭😭😭amin,negative
@RFI_Hausa Su gobara Manyah!😂,neutral
@washafatii @meothmans gata wajenka da duminta wollah🔥,neutral
@bbchausa Hmmm yanzu kai kasan girman allah daxakace mukuma ga Allah kune kukabarshi kuna karyata ayoyinsa kace allah baya karbar adduar talakan nigeria 🇳🇬 bayan kunzalunceshi kuma allah ya karbar adduar wanda aka zalunta cikin sauri amma kace wai Allah baya karbar addua talakawa,negative
@bbchausa @O2umarJ Wai gwamno nin Nigeria suna afa kwayoyi ko 😂,negative
@bbchausa Tooom ina masu show up a A B U se a saurara in ankoma ni baby nokia ma xannema second hand insiya🙄🙄🙄🙄,neutral
"@bbchausa Hukuncin da ya Kama ta ake yi a Nigeria kenan, yin hakan zai kawo saukin wannan masifa😏",positive
@bbchausa Gyada me sihri abare aga biyu a murza aga hudu atauna aji dan Karen dadi😀😀,positive
"@bbchausa To Ku nemawa talakkawa mafita mana, Magamar banza ko hare hare anka kawo waye sukafi shafa ba talakka ba? Kumfi uban kowa kuka da matsaloli amma baku damuda wadanda suke shafaba, Nan tsohon gwamnan Zamfara yacce sulhu da 'yan bindiga ba shine mafitaba To mi shika nuhi? Mits....😭",negative
@bbchausa Jazakallahu khair Allah ya sa mun dache dachewansa ya kawo mana zaman lafiya a kasanmu Nigeria 🇳🇬 Amin yah hayyu ya qayyum,positive
"@bbchausa 😂😂😂kadai fito fili ba sai ka fake da kungiyo yi ba, na Gwaggo",neutral
@alinuhu Inaa bayan Alinuhu EDUCATION is better than MONEY 😆🙄,positive
@bbchausa Wato mutanen ma an koma fasa kwaurin su ke nan kamar wata shinkafa?😂,negative
@bbchausa Gaskiya da kamar wuya😂,neutral
@Rahma_sadau Toh ai iyayannaki mah basusan darajan musulinchi ba tun da sukabar ki kinayin halin kafurchi ai bakiyi dana saneba tukun nama😡😡😡,negative
@aminiyatrust To mutum nawa akayi arrest bayan ansar daliban..... 👌,neutral
@bbchausa Tana ga mai 'Kwanji 💪,neutral
@RFI_Ha 🤣🤣🤣🤣to dama waxai zabeka nn gaba,neutral
@Rahma_sadau @Bulama2k95 @akreana_ Mathematics akace fa ba dancing ba 😜😂,neutral
@RFI_Ha 🤣😜🤣😜Shirin ku ya rushe akan Afrika kenan 👌,negative
@bbchausa Gaskiya da anayi a hk a Nigeria 🇳🇬 Matasa da kyanmata da anachikin yimusu bulalane kullun wlhi,negative
@Rahma_sadau Masha Allah. Allah ya taimaki yan baya. 🙏,positive
@bbchausa @Maimuna__A Allah sarki😭😭 Allah ya kara mana lafiya da zaman lafiya kuma ya yaye mana dukkan damuwan mu ameeen🙏🙏🙏,positive
"@bbchausa Rarara kai dabanne wallah indai a fannin wakar siyasa ne, basirarka ta daban ce.... 😂 #dodontsula 😝",negative
@bbchausa @mtauwal Inna lillahi wa Inna ilahi rajioon. Allah ya jikanshi da gafara. Ameen ya Rabb 🤲 👏 👏,positive
@bbchausa Ai shiyasa naga shi kansa dan rainin wayon yana zama a qasar tasa ana dubashi. May be fa a Jordan din dayace yayi wannan kalaman tunda yasaba qanqantar damu a idon duniya😣😣,negative
@Rahma_sadau Gaskiya Rahama kinci lfy kinga yadda kike sake zama wata buleliya masha Allah and pls DM me with your number I have something to say 😂😂😂,positive
@AminuSaira @sairamovies Sannan zata ci gaba da kula Mahmud koda yafi kamaye talauci 😅😅 Wannan batu nata yayi amma jiki magayi 🤨ni nayi nan 🏃🏃,negative
@bbchausa Kowa ya kama gabanshi 🏃‍♂️,neutral
@bbchausa Gaskiya yafada munga cigaba yanzu 🤩🤩,positive
@FalaluDorayi Wannan gaskiya ne Big Bro 😁,positive
@AREWA24Channel Burina yacika kamaye yakamu 👍ALHAJI mala yasamu adalce,positive
@aminiyatrust Zai gan Dakyau shi ma!🙏👊,neutral
@bbchausa Chan ta matse musu. Damuwata masallatai da aka rufe ne 😭😭,negative
"@bbchausa Neman halal dawuya yake banga laipin kaba Baba suma masu kawo mana neman arziki sukewa kasar su muma mu dage muyi noma mu nemawa kasar mu arziki kamar yadda sukeyi, @MBuhari kowa yaja dakai sai yaji ajikinsa 😂",positive
@Rahma_sadau Allah yabaki miji nagari kiyi auren ki 👌👌,positive
@Rahma_sadau @Rahma_sadau saura larabci?? Muga koh anada ilimi 📚,neutral
"@bbchausa wallahi kincuce mu musulmai, Dan bana farko kenan ba, Hargashe ta kawo suka ga shugaban mu 😥",negative
@bbchausa Allah Yaji qansa da rahama😭😭. Amma mai yasa baba buhari bai bisu ba,positive
@bbchausa Allah ya yi muku jagora.. a gashe da Sarki Muhammadu Sanusi na biyu ✊🏿,positive
"@bbchausa Mutanan Nigeria 🇳🇬 suna Allah wadai da tafiyar ka kasar waje, ya kamata katsaya asibitin gida adubaka indai Kai mai-kishin chigaban kasane😇",negative
"@bbchausa Allahu Akbar 😭 Allaah yajikan mata!🙏🏼 Gaskiya, ba karamin taimako kikayi mana ba, Allaah dai yasaka miki da gidan aljannah.🙏🏼😩 Mungode kwaraiii",positive
@bbchausa @ProfZulum Long live zuluminization 💪🏻💪🏻💪🏻,positive
@bbchausa Duniyar ka a hannun ka😎😎,neutral
@FalaluDorayi @sanimuazu60 Lallai kam director😂😂😂,neutral
@bbchausa Lmao 😂😂😂 Naji dadin wannan headline din bbc 👏🏻😂,positive
@AminuSaira @SairaMueller @AREWA24Channel Allah yasa mafarki SUMAYYA take🤲,positive
"@Rahma_sadau Looking beautiful Rahma, for your information guy's Wallahi I guarantee you Wallahi who ever say something wrong about Rahma again we will just say Allah ya isa, Da Buro'uba ku wayasan me kukeyi a gefe? Allah Shi Toni asirinku FOOLS. 😡 back to school.🖕",positive
@bbchausa @Usy_cole33 Gobe sai wani yayi😂,neutral
@bbchausa @MadaniTijjani @naseertijjani watch this and see dan Malam a cikin bidiyon 😂😂,neutral
@bbchausa Abincin kwado baeya hawa sama🙄🙄,neutral
@Rahma_sadau Almajiri is also child. Thanks Hajiya @Rahma_sadau 👍,positive
@voahausa Bamuyi siyasace koma tanazuwa gareko😛,neutral
"@bbchausa Allah Ya kyauta. An bar al umma cikin masifar talauchi da tashin hankali. Allah Ya sakawa masu hakki. Ya kamata kamar yadda ake a sauran kasashen duniya da suka ci gaba, shugabanni su dai na daukar dukiyar al umma da aka basu amana kamar tasu. 😭😭😭😭",positive
@bbchausa Zasu sakawa Buhari shiga cikin jirgi shima ya Dana Zaman Dar-Dar Kenan 😂😂,neutral
"@Rahma_sadau ameen ya rabbil alamin amma kisani mu gaskiya da indianci mukeso ki dunga magana a tweeter daga yau, Kasam feeda kharne waleekii 😀",positive
@bbchausa Bama buqata Tun yaushe ake mana wannan rashin adalcin.@DrIsaPantami Allah yana jiran kowa a madakata. Idan kun so kuce baza ku mutu ba. 😭😭,negative
