id	score	v	d-obj	p	p-title
00001	?	call	dog	food	dog
00002	?	call	dog	dog food	dog
00003	?	call	dog	tin of dog food	dog
00004	?	call	dog	tin	dog
00005	?	call	dog	pet	dog
00006	?	call	dog	can of petfood	dog
00007	?	call	dog	floor	dog
00008	?	call	dog	dogs	dog
00009	?	call	dog	dish	dog
00010	?	call	dog	bowl	dog
00011	?	call	dog	tin opener	dog
00012	?	call	dog	can opener	dog
00013	?	call	dog	dog s	dog
00014	?	put	food	dog food	dog
00015	?	put	food	tin of dog food	dog
00016	?	put	food	tin	dog
00017	?	put	food	pet	dog
00018	?	put	food	can of petfood	dog
00019	?	put	food	floor	dog
00020	?	put	food	dogs	dog
00021	?	put	food	dish	dog
00022	?	put	food	bowl	dog
00023	?	put	food	tin opener	dog
00024	?	put	food	can opener	dog
00025	?	put	food	dog s	dog
00026	?	open	bag	food	dog
00027	?	open	bag	dog food	dog
00028	?	open	bag	tin of dog food	dog
00029	?	open	bag	tin	dog
00030	?	open	bag	pet	dog
00031	?	open	bag	can of petfood	dog
00032	?	open	bag	floor	dog
00033	?	open	bag	dogs	dog
00034	?	open	bag	dish	dog
00035	?	open	bag	bowl	dog
00036	?	open	bag	tin opener	dog
00037	?	open	bag	can opener	dog
00038	?	open	bag	dog s	dog
00039	?	pour	water	food	dog
00040	?	pour	water	dog food	dog
00041	?	pour	water	tin of dog food	dog
00042	?	pour	water	tin	dog
00043	?	pour	water	pet	dog
00044	?	pour	water	can of petfood	dog
00045	?	pour	water	floor	dog
00046	?	pour	water	dogs	dog
00047	?	pour	water	dish	dog
00048	?	pour	water	bowl	dog
00049	?	pour	water	tin opener	dog
00050	?	pour	water	can opener	dog
00051	?	pour	water	dog s	dog
00052	?	identify	dog food	food	dog
00053	?	identify	dog food	tin of dog food	dog
00054	?	identify	dog food	tin	dog
00055	?	identify	dog food	pet	dog
00056	?	identify	dog food	can of petfood	dog
00057	?	identify	dog food	floor	dog
00058	?	identify	dog food	dogs	dog
00059	?	identify	dog food	dish	dog
00060	?	identify	dog food	bowl	dog
00061	?	identify	dog food	tin opener	dog
00062	?	identify	dog food	can opener	dog
00063	?	identify	dog food	dog s	dog
00064	?	find	measuring cup	food	dog
00065	?	find	measuring cup	dog food	dog
00066	?	find	measuring cup	tin of dog food	dog
00067	?	find	measuring cup	tin	dog
00068	?	find	measuring cup	pet	dog
00069	?	find	measuring cup	can of petfood	dog
00070	?	find	measuring cup	floor	dog
00071	?	find	measuring cup	dogs	dog
00072	?	find	measuring cup	dish	dog
00073	?	find	measuring cup	bowl	dog
00074	?	find	measuring cup	tin opener	dog
00075	?	find	measuring cup	can opener	dog
00076	?	find	measuring cup	dog s	dog
00077	?	pour	contents	food	dog
00078	?	pour	contents	dog food	dog
00079	?	pour	contents	tin of dog food	dog
00080	?	pour	contents	tin	dog
00081	?	pour	contents	pet	dog
00082	?	pour	contents	can of petfood	dog
00083	?	pour	contents	floor	dog
00084	?	pour	contents	dogs	dog
00085	?	pour	contents	dish	dog
00086	?	pour	contents	bowl	dog
00087	?	pour	contents	tin opener	dog
00088	?	pour	contents	can opener	dog
00089	?	pour	contents	dog s	dog
00090	?	take	dog food	food	dog
00091	?	take	dog food	tin of dog food	dog
00092	?	take	dog food	tin	dog
00093	?	take	dog food	pet	dog
00094	?	take	dog food	can of petfood	dog
00095	?	take	dog food	floor	dog
00096	?	take	dog food	dogs	dog
