id	score	v	d-obj	p	p-title
000001	0.004185570073003028	take	new plate	replacement food	food
000002	0.0015590948695999817	take	new plate	returns	food
000003	0.0013539484551640894	take	new plate	issue	food
000004	0.01895527837229725	take	new plate	waiter	food
000005	0.014807345946740292	take	new plate	server	food
000006	0.0055522868315346285	take	new plate	wait staff of problem	food
000007	0.0	take	new plate	wait for new order	food
000008	0.0005450744280255425	take	new plate	you	food
000009	0.001104927715763387	take	new plate	table	food
000010	0.002467890991123382	take	new plate	flag	food
000011	0.008371140146006055	take	new plate	new dish	food
000012	0.002092785036501514	take	new plate	waiter problem	food
000013	0.0075793175244911375	take	new plate	problem	food
000014	0.002092785036501514	take	new plate	good tip	food
000015	0.002092785036501514	take	new plate	higher tip	food
000016	0.002092785036501514	take	new plate	chef complaint	food
000017	0.0015590948695999817	take	new plate	reason	food
000018	0.0018175922430468004	take	new plate	him	food
000019	0.004061845365492268	take	new plate	waitress	food
000020	0.016656860494603888	take	new plate	new plate of food	food
000021	0.0031181897391999633	take	new plate	waitstaff	food
000022	0.0062904521328369205	take	new plate	server s attention	food
000023	0.002092785036501514	take	new plate	waitress attention	food
000024	0.004185570073003028	take	new plate	server s	food
000025	0.002092785036501514	take	new plate	replacement meal	food
000026	0.002092785036501514	take	new plate	new meal	food
000027	0.00779547434799991	take	new plate	chef	food
000028	0.0055522868315346285	take	new plate	chef complaint of food	food
000029	0.004185570073003028	show	bad parts	replacement food	food
000030	0.0015590948695999817	show	bad parts	returns	food
000031	0.0013539484551640894	show	bad parts	issue	food
000032	0.01895527837229725	show	bad parts	waiter	food
000033	0.014807345946740292	show	bad parts	server	food
000034	0.0055522868315346285	show	bad parts	wait staff of problem	food
000035	0.0	show	bad parts	wait for new order	food
000036	0.0005450744280255425	show	bad parts	you	food
000037	0.001104927715763387	show	bad parts	table	food
000038	0.002467890991123382	show	bad parts	flag	food
000039	0.008371140146006055	show	bad parts	new dish	food
000040	0.012556710219009086	show	bad parts	new plate	food
000041	0.002092785036501514	show	bad parts	waiter problem	food
000042	0.0075793175244911375	show	bad parts	problem	food
000043	0.002092785036501514	show	bad parts	good tip	food
000044	0.002092785036501514	show	bad parts	higher tip	food
000045	0.002092785036501514	show	bad parts	chef complaint	food
000046	0.0015590948695999817	show	bad parts	reason	food
000047	0.0018175922430468004	show	bad parts	him	food
000048	0.004061845365492268	show	bad parts	waitress	food
000049	0.016656860494603888	show	bad parts	new plate of food	food
000050	0.0031181897391999633	show	bad parts	waitstaff	food
000051	0.0062904521328369205	show	bad parts	server s attention	food
000052	0.002092785036501514	show	bad parts	waitress attention	food
000053	0.004185570073003028	show	bad parts	server s	food
000054	0.002092785036501514	show	bad parts	replacement meal	food
000055	0.002092785036501514	show	bad parts	new meal	food
000056	0.00779547434799991	show	bad parts	chef	food
000057	0.0055522868315346285	show	bad parts	chef complaint of food	food
000058	0.012556710219009084	explain	problem	replacement food	food
000059	0.004677284608799946	explain	problem	returns	food
000060	0.004061845365492268	explain	problem	issue	food
000061	0.05686583511689176	explain	problem	waiter	food
000062	0.04442203784022088	explain	problem	server	food
