id	score	v	d-obj	p	p-title
00001	?	get	condiments	food	fast food restaurant
00002	?	get	condiments	my food	fast food restaurant
00003	?	get	condiments	napkins and condiments	fast food restaurant
00004	?	get	condiments	menu board	fast food restaurant
00005	?	get	condiments	cashier	fast food restaurant
00006	?	get	condiments	my order	fast food restaurant
00007	?	get	condiments	order	fast food restaurant
00008	?	get	condiments	receptacle	fast food restaurant
00009	?	get	condiments	tray	fast food restaurant
00010	?	get	condiments	number	fast food restaurant
00011	?	get	condiments	order number	fast food restaurant
00012	?	get	condiments	vacant table	fast food restaurant
00013	?	get	condiments	table	fast food restaurant
00014	?	get	condiments	place to sit	fast food restaurant
00015	?	get	condiments	seat	fast food restaurant
00016	?	get	condiments	restaurant	fast food restaurant
00017	?	get	condiments	swipe credit card	fast food restaurant
00018	?	get	condiments	credit card	fast food restaurant
00019	?	get	condiments	car	fast food restaurant
00020	?	get	condiments	my receipt	fast food restaurant
00021	?	get	condiments	receipt	fast food restaurant
00022	?	get	condiments	your cup	fast food restaurant
00023	?	get	condiments	cup	fast food restaurant
00024	?	get	condiments	you	fast food restaurant
00025	?	get	condiments	line	fast food restaurant
00026	?	get	condiments	trash	fast food restaurant
00027	?	get	condiments	trays and trash	fast food restaurant
00028	?	get	condiments	menu	fast food restaurant
00029	?	get	condiments	bill	fast food restaurant
00030	?	get	condiments	counter	fast food restaurant
00031	?	get	condiments	front counter	fast food restaurant
00032	?	take	food	my food	fast food restaurant
00033	?	take	food	napkins and condiments	fast food restaurant
00034	?	take	food	condiments	fast food restaurant
00035	?	take	food	menu board	fast food restaurant
00036	?	take	food	cashier	fast food restaurant
00037	?	take	food	my order	fast food restaurant
00038	?	take	food	order	fast food restaurant
00039	?	take	food	receptacle	fast food restaurant
00040	?	take	food	tray	fast food restaurant
00041	?	take	food	number	fast food restaurant
00042	?	take	food	order number	fast food restaurant
00043	?	take	food	vacant table	fast food restaurant
00044	?	take	food	table	fast food restaurant
00045	?	take	food	place to sit	fast food restaurant
00046	?	take	food	seat	fast food restaurant
00047	?	take	food	restaurant	fast food restaurant
00048	?	take	food	swipe credit card	fast food restaurant
00049	?	take	food	credit card	fast food restaurant
00050	?	take	food	car	fast food restaurant
00051	?	take	food	my receipt	fast food restaurant
00052	?	take	food	receipt	fast food restaurant
00053	?	take	food	your cup	fast food restaurant
00054	?	take	food	cup	fast food restaurant
00055	?	take	food	you	fast food restaurant
00056	?	take	food	line	fast food restaurant
00057	?	take	food	trash	fast food restaurant
00058	?	take	food	trays and trash	fast food restaurant
00059	?	take	food	menu	fast food restaurant
00060	?	take	food	bill	fast food restaurant
00061	?	take	food	counter	fast food restaurant
00062	?	take	food	front counter	fast food restaurant
00063	?	dispense	soda	food	fast food restaurant
00064	?	dispense	soda	my food	fast food restaurant
00065	?	dispense	soda	napkins and condiments	fast food restaurant
00066	?	dispense	soda	condiments	fast food restaurant
00067	?	dispense	soda	menu board	fast food restaurant
00068	?	dispense	soda	cashier	fast food restaurant
00069	?	dispense	soda	my order	fast food restaurant
00070	?	dispense	soda	order	fast food restaurant
00071	?	dispense	soda	receptacle	fast food restaurant
00072	?	dispense	soda	tray	fast food restaurant
00073	?	dispense	soda	number	fast food restaurant
00074	?	dispense	soda	order number	fast food restaurant
00075	?	dispense	soda	vacant table	fast food restaurant
00076	?	dispense	soda	table	fast food restaurant
00077	?	dispense	soda	place to sit	fast food restaurant
00078	?	dispense	soda	seat	fast food restaurant
00079	?	dispense	soda	restaurant	fast food restaurant
00080	?	dispense	soda	swipe credit card	fast food restaurant
00081	?	dispense	soda	credit card	fast food restaurant
00082	?	dispense	soda	car	fast food restaurant
00083	?	dispense	soda	my receipt	fast food restaurant
00084	?	dispense	soda	receipt	fast food restaurant
00085	?	dispense	soda	your cup	fast food restaurant
00086	?	dispense	soda	cup	fast food restaurant
00087	?	dispense	soda	you	fast food restaurant
00088	?	dispense	soda	line	fast food restaurant
00089	?	dispense	soda	trash	fast food restaurant
00090	?	dispense	soda	trays and trash	fast food restaurant
00091	?	dispense	soda	menu	fast food restaurant
00092	?	dispense	soda	bill	fast food restaurant
00093	?	dispense	soda	counter	fast food restaurant
00094	?	dispense	soda	front counter	fast food restaurant
00095	?	place	order	food	fast food restaurant
00096	?	place	order	my food	fast food restaurant
00097	?	place	order	napkins and condiments	fast food restaurant
00098	?	place	order	condiments	fast food restaurant
00099	?	place	order	menu board	fast food restaurant
00100	?	place	order	cashier	fast food restaurant
00101	?	place	order	my order	fast food restaurant
00102	?	place	order	receptacle	fast food restaurant
00103	?	place	order	tray	fast food restaurant
00104	?	place	order	number	fast food restaurant
00105	?	place	order	order number	fast food restaurant
00106	?	place	order	vacant table	fast food restaurant
00107	?	place	order	table	fast food restaurant
00108	?	place	order	place to sit	fast food restaurant
00109	?	place	order	seat	fast food restaurant
00110	?	place	order	restaurant	fast food restaurant
00111	?	place	order	swipe credit card	fast food restaurant
00112	?	place	order	credit card	fast food restaurant
00113	?	place	order	car	fast food restaurant
00114	?	place	order	my receipt	fast food restaurant
00115	?	place	order	receipt	fast food restaurant
00116	?	place	order	your cup	fast food restaurant
00117	?	place	order	cup	fast food restaurant
00118	?	place	order	you	fast food restaurant
00119	?	place	order	line	fast food restaurant
00120	?	place	order	trash	fast food restaurant
00121	?	place	order	trays and trash	fast food restaurant
00122	?	place	order	menu	fast food restaurant
00123	?	place	order	bill	fast food restaurant
00124	?	place	order	counter	fast food restaurant
00125	?	place	order	front counter	fast food restaurant
00126	?	get	napkins	food	fast food restaurant
00127	?	get	napkins	my food	fast food restaurant
00128	?	get	napkins	napkins and condiments	fast food restaurant
00129	?	get	napkins	condiments	fast food restaurant
00130	?	get	napkins	menu board	fast food restaurant
00131	?	get	napkins	cashier	fast food restaurant
00132	?	get	napkins	my order	fast food restaurant
00133	?	get	napkins	order	fast food restaurant
00134	?	get	napkins	receptacle	fast food restaurant
00135	?	get	napkins	tray	fast food restaurant
00136	?	get	napkins	number	fast food restaurant
00137	?	get	napkins	order number	fast food restaurant
00138	?	get	napkins	vacant table	fast food restaurant
00139	?	get	napkins	table	fast food restaurant
00140	?	get	napkins	place to sit	fast food restaurant
00141	?	get	napkins	seat	fast food restaurant
00142	?	get	napkins	restaurant	fast food restaurant
00143	?	get	napkins	swipe credit card	fast food restaurant
00144	?	get	napkins	credit card	fast food restaurant
00145	?	get	napkins	car	fast food restaurant
00146	?	get	napkins	my receipt	fast food restaurant
00147	?	get	napkins	receipt	fast food restaurant
00148	?	get	napkins	your cup	fast food restaurant
00149	?	get	napkins	cup	fast food restaurant
00150	?	get	napkins	you	fast food restaurant
00151	?	get	napkins	line	fast food restaurant
00152	?	get	napkins	trash	fast food restaurant
00153	?	get	napkins	trays and trash	fast food restaurant
00154	?	get	napkins	menu	fast food restaurant
00155	?	get	napkins	bill	fast food restaurant
00156	?	get	napkins	counter	fast food restaurant
00157	?	get	napkins	front counter	fast food restaurant
00158	?	receive	food	my food	fast food restaurant
00159	?	receive	food	napkins and condiments	fast food restaurant
00160	?	receive	food	condiments	fast food restaurant
00161	?	receive	food	menu board	fast food restaurant
00162	?	receive	food	cashier	fast food restaurant
