id	score	v	d-obj	p	p-title
00001	?	call	dog	food	dog
00002	?	call	dog	dog food	dog
00003	?	call	dog	bin	dog
00004	?	call	dog	tin of dog food	dog
00005	?	call	dog	tin	dog
00006	?	call	dog	it	dog
00007	?	call	dog	pet	dog
00008	?	call	dog	can of petfood	dog
00009	?	call	dog	floor	dog
00010	?	call	dog	dogs	dog
00011	?	call	dog	dog	dog
00012	?	call	dog	dish	dog
00013	?	call	dog	bowl	dog
00014	?	call	dog	tin opener	dog
00015	?	call	dog	can opener	dog
00016	?	call	dog	dog s	dog
00017	?	call	dog	s	dog
00018	?	put	food	food	dog
00019	?	put	food	dog food	dog
00020	?	put	food	bin	dog
00021	?	put	food	tin of dog food	dog
00022	?	put	food	tin	dog
00023	?	put	food	it	dog
00024	?	put	food	pet	dog
00025	?	put	food	can of petfood	dog
00026	?	put	food	floor	dog
00027	?	put	food	dogs	dog
00028	?	put	food	dog	dog
00029	?	put	food	dish	dog
00030	?	put	food	bowl	dog
00031	?	put	food	tin opener	dog
00032	?	put	food	can opener	dog
00033	?	put	food	dog s	dog
00034	?	put	food	s	dog
00035	?	open	bag	food	dog
00036	?	open	bag	dog food	dog
00037	?	open	bag	bin	dog
00038	?	open	bag	tin of dog food	dog
00039	?	open	bag	tin	dog
00040	?	open	bag	it	dog
00041	?	open	bag	pet	dog
00042	?	open	bag	can of petfood	dog
00043	?	open	bag	floor	dog
00044	?	open	bag	dogs	dog
00045	?	open	bag	dog	dog
00046	?	open	bag	dish	dog
00047	?	open	bag	bowl	dog
00048	?	open	bag	tin opener	dog
00049	?	open	bag	can opener	dog
00050	?	open	bag	dog s	dog
00051	?	open	bag	s	dog
00052	?	pour	water	food	dog
00053	?	pour	water	dog food	dog
00054	?	pour	water	bin	dog
00055	?	pour	water	tin of dog food	dog
00056	?	pour	water	tin	dog
00057	?	pour	water	it	dog
00058	?	pour	water	pet	dog
00059	?	pour	water	can of petfood	dog
00060	?	pour	water	floor	dog
00061	?	pour	water	dogs	dog
00062	?	pour	water	dog	dog
00063	?	pour	water	dish	dog
00064	?	pour	water	bowl	dog
00065	?	pour	water	tin opener	dog
00066	?	pour	water	can opener	dog
00067	?	pour	water	dog s	dog
00068	?	pour	water	s	dog
00069	?	identify	dog food	food	dog
00070	?	identify	dog food	dog food	dog
00071	?	identify	dog food	bin	dog
00072	?	identify	dog food	tin of dog food	dog
00073	?	identify	dog food	tin	dog
00074	?	identify	dog food	it	dog
00075	?	identify	dog food	pet	dog
00076	?	identify	dog food	can of petfood	dog
00077	?	identify	dog food	floor	dog
00078	?	identify	dog food	dogs	dog
00079	?	identify	dog food	dog	dog
00080	?	identify	dog food	dish	dog
00081	?	identify	dog food	bowl	dog
00082	?	identify	dog food	tin opener	dog
00083	?	identify	dog food	can opener	dog
00084	?	identify	dog food	dog s	dog
00085	?	identify	dog food	s	dog
00086	?	find	measuring cup	food	dog
00087	?	find	measuring cup	dog food	dog
00088	?	find	measuring cup	bin	dog
00089	?	find	measuring cup	tin of dog food	dog
00090	?	find	measuring cup	tin	dog
00091	?	find	measuring cup	it	dog
00092	?	find	measuring cup	pet	dog
00093	?	find	measuring cup	can of petfood	dog
00094	?	find	measuring cup	floor	dog
00095	?	find	measuring cup	dogs	dog
00096	?	find	measuring cup	dog	dog
00097	?	find	measuring cup	dish	dog
00098	?	find	measuring cup	bowl	dog
00099	?	find	measuring cup	tin opener	dog
